Date,Positive,Deaths,Total Tests
Wed Apr 22 2020,859318,44014,4660250
Tue Apr 21 2020,827148,42103,4466771
Mon Apr 20 2020,800126,39995,4155587
Sun Apr 19 2020,773020,37321,4004047
Sat Apr 18 2020,749486,35793,3866147
Fri Apr 17 2020,722566,34139,3698918
Thu Apr 16 2020,694986,32365,3557959
Wed Apr 15 2020,663767,30296,3401571
Tue Apr 14 2020,633010,28160,3243109
Mon Apr 13 2020,602676,25668,3081589
Sun Apr 12 2020,576902,23369,2935134
Sat Apr 11 2020,551953,21919,2806019
Fri Apr 10 2020,522736,20423,2665559
Thu Apr 9 2020,492858,18488,2528888
Wed Apr 8 2020,458315,16424,2375035
Tue Apr 7 2020,424099,14558,2212899
Mon Apr 6 2020,393928,12646,2072802
Sun Apr 5 2020,363519,10720,1924731
Sat Apr 4 2020,334771,9554,1775487
Fri Apr 3 2020,308806,8379,1652893
Thu Apr 2 2020,275288,7026,1423643
Wed Apr 1 2020,243294,5835,1291692
Tue Mar 31 2020,215236,4746,1169753
Mon Mar 30 2020,190061,3803,1066348
Sun Mar 29 2020,165587,2983,959383
Sat Mar 28 2020,144369,2467,840741
Fri Mar 27 2020,124889,2001,747668
Thu Mar 26 2020,105526,1574,639775
Wed Mar 25 2020,86867,1208,529148
Tue Mar 24 2020,69558,931,432749
Mon Mar 23 2020,57269,706,353854
Sun Mar 22 2020,47105,509,287265
Sat Mar 21 2020,36427,426,231533
Fri Mar 20 2020,27467,297,185003
Thu Mar 19 2020,20936,247,139906
Wed Mar 18 2020,15160,185,104099
Tue Mar 17 2020,10963,142,78131
Mon Mar 16 2020,8387,119,56440
Sun Mar 15 2020,6196,97,42300
Sat Mar 14 2020,4916,76,27540
Fri Mar 13 2020,3858,63,20960
Thu Mar 12 2020,3103,55,16716
Wed Mar 11 2020,2228,51,10269
Tue Mar 10 2020,1764,43,7870
Mon Mar 9 2020,1372,37,5184
Sun Mar 8 2020,1054,35,4398
Sat Mar 7 2020,734,31,3069
Fri Mar 6 2020,551,27,2390
